   a   4a-1         form  rank  agree
   1      3        3*1^2     4  OK
   2      7           --     8  OK
   3     11       11*1^2     4  OK
   4     15           --     8  OK
   5     19           --     8  OK
   6     23           --     8  OK
   7     27        3*3^2     4  OK
   8     31           --     8  OK
   9     35           --     8  OK
  10     39           --     8  OK
  11     43           --     8  OK
  12     47           --     8  OK
  13     51           --     8  OK
  14     55           --     8  OK
  15     59           --     8  OK
  16     63           --     8  OK
  17     67           --     8  OK
  18     71           --     8  OK
  19     75        3*5^2     4  OK
  20     79           --     8  OK
  21     83           --     8  OK
  22     87           --     8  OK
  23     91           --     8  OK
  24     95           --     8  OK
  25     99       11*3^2     4  OK
  26    103           --     8  OK
  27    107           --     8  OK
  28    111           --     8  OK
  29    115           --     8  OK
  30    119           --     8  OK
  31    123           --     8  OK
  32    127           --     8  OK
  33    131           --     8  OK
  34    135           --     8  OK
  35    139           --     8  OK
  36    143           --     8  OK
  37    147        3*7^2     4  OK
  38    151           --     8  OK
  39    155           --     8  OK
  40    159           --     8  OK
  41    163           --     8  OK
  42    167           --     8  OK
  43    171           --     8  OK
  44    175           --     8  OK
  45    179           --     8  OK
  61    243        3*9^2     4  OK
  69    275       11*5^2     4  OK
  91    363       3*11^2     4  OK
  97    387           --     8  OK
 100    399           --     8  OK

rational a, where the integer form of the criterion would be wrong:
     1/3      1/3      3*(1/3)^2     4  OK
     7/3     25/3      3*(5/3)^2     4  OK
    13/3     49/3      3*(7/3)^2     4  OK
    31/3    121/3     3*(11/3)^2     4  OK
    43/3    169/3     3*(13/3)^2     4  OK
     4/3     13/3             --     8  OK
    64/3    253/3             --     8  OK
    64/9    247/9             --     8  OK
   256/9   1015/9             --     8  OK

59 rotations tested, 0 mismatches
range: every integer a <= 45, then 61, 69, 91, 97, 100, and the rational a 1/3, 7/3, 13/3, 31/3, 43/3, 4/3, 64/3, 64/9, 256/9
excluded a <= 100: [1, 3, 7, 19, 25, 37, 61, 69, 91]

rank 4 exactly at the excluded a, rank 8 everywhere else
